symbol,name,market,severity,issue_code
00007.HK,智富资源投资,港股,warning,financial_reports_insufficient
00007.HK,智富资源投资,港股,warning,enrichment_coverage_low
00059.HK,天誉置业,港股,warning,support_not_below_resistance
00100.HK,MINIMAX-WP,港股,warning,valuation_history_insufficient
00106.HK,朗诗绿色管理,港股,warning,support_not_below_resistance
001220.SZ,世盟股份,A股,warning,valuation_history_insufficient
001220.SZ,世盟股份,A股,warning,enrichment_coverage_low
001221.SZ,悍高集团,A股,warning,valuation_history_insufficient
001233.SZ,海安集团,A股,warning,valuation_history_insufficient
001280.SZ,中国铀业,A股,warning,valuation_history_insufficient
001285.SZ,瑞立科密,A股,warning,valuation_history_insufficient
001285.SZ,瑞立科密,A股,warning,enrichment_coverage_low
001325.SZ,元创股份,A股,warning,valuation_history_insufficient
001335.SZ,信凯科技,A股,warning,valuation_history_insufficient
001356.SZ,富岭股份,A股,warning,valuation_history_insufficient
001369.SZ,双欣环保,A股,warning,valuation_history_insufficient
001382.SZ,新亚电缆,A股,warning,valuation_history_insufficient
001386.SZ,马可波罗,A股,warning,valuation_history_insufficient
001388.SZ,信通电子,A股,warning,valuation_history_insufficient
001390.SZ,古麒绒材,A股,warning,valuation_history_insufficient
001395.SZ,亚联机械,A股,warning,valuation_history_insufficient
001396.SZ,誉帆科技,A股,warning,valuation_history_insufficient
001400.SZ,江顺科技,A股,warning,valuation_history_insufficient
00202.HK,润中国际控股,港股,warning,enrichment_coverage_low
00204.HK,资本界金控,港股,warning,enrichment_coverage_low
00205.HK,BFB HEALTH,港股,warning,enrichment_coverage_low
002053.SZ,云南能投,A股,warning,enrichment_coverage_low
002054.SZ,德美化工,A股,warning,enrichment_coverage_low
002055.SZ,ST得润,A股,warning,enrichment_coverage_low
002056.SZ,横店东磁,A股,warning,enrichment_coverage_low
002057.SZ,中钢天源,A股,warning,enrichment_coverage_low
002058.SZ,*ST威尔,A股,warning,enrichment_coverage_low
002059.SZ,云南旅游,A股,warning,enrichment_coverage_low
00206.HK,华商能源,港股,warning,enrichment_coverage_low
002060.SZ,广东建工,A股,warning,enrichment_coverage_low
002061.SZ,浙江交科,A股,warning,enrichment_coverage_low
002062.SZ,宏润建设,A股,warning,enrichment_coverage_low
002063.SZ,远光软件,A股,warning,enrichment_coverage_low
002064.SZ,华峰化学,A股,warning,enrichment_coverage_low
002065.SZ,东华软件,A股,warning,enrichment_coverage_low
002066.SZ,瑞泰科技,A股,warning,enrichment_coverage_low
002067.SZ,景兴纸业,A股,warning,enrichment_coverage_low
002068.SZ,黑猫股份,A股,warning,enrichment_coverage_low
002069.SZ,獐子岛,A股,warning,enrichment_coverage_low
002072.SZ,凯瑞德,A股,warning,enrichment_coverage_low
002073.SZ,软控股份,A股,warning,enrichment_coverage_low
002074.SZ,国轩高科,A股,warning,enrichment_coverage_low
002075.SZ,沙钢股份,A股,warning,enrichment_coverage_low
002076.SZ,*ST星光,A股,warning,enrichment_coverage_low
00209.HK,瀛晟科学,港股,warning,enrichment_coverage_low
00210.HK,达芙妮国际,港股,warning,enrichment_coverage_low
00211.HK,STYLAND HOLD,港股,warning,enrichment_coverage_low
00212.HK,NANYANG HOLD,港股,warning,enrichment_coverage_low
00213.HK,NATIONAL ELEC H,港股,warning,enrichment_coverage_low
00214.HK,汇汉控股,港股,warning,enrichment_coverage_low
00215.HK,和记电讯香港,港股,warning,enrichment_coverage_low
00216.HK,建业实业,港股,warning,enrichment_coverage_low
00217.HK,中国诚通发展集团,港股,warning,enrichment_coverage_low
00218.HK,申万宏源香港,港股,warning,enrichment_coverage_low
00219.HK,顺豪物业,港股,warning,enrichment_coverage_low
00220.HK,统一企业中国,港股,warning,enrichment_coverage_low
00222.HK,闽信集团,港股,warning,enrichment_coverage_low
00223.HK,易生活控股,港股,warning,enrichment_coverage_low
00224.HK,建生国际,港股,warning,enrichment_coverage_low
00225.HK,博富临置业,港股,warning,enrichment_coverage_low
00227.HK,第一上海,港股,warning,enrichment_coverage_low
00228.HK,中能控股,港股,warning,enrichment_coverage_low
00229.HK,利民实业,港股,warning,enrichment_coverage_low
00230.HK,五矿地产,港股,warning,enrichment_coverage_low
00232.HK,大陆航空科技控股,港股,warning,enrichment_coverage_low
00234.HK,新世纪集团,港股,warning,enrichment_coverage_low
00235.HK,中策资本控股,港股,warning,enrichment_coverage_low
00236.HK,香港生力啤,港股,warning,enrichment_coverage_low
00237.HK,安全货仓,港股,warning,enrichment_coverage_low
00239.HK,白花油,港股,warning,enrichment_coverage_low
00240.HK,利基控股,港股,warning,enrichment_coverage_low
00241.HK,阿里健康,港股,warning,enrichment_coverage_low
00242.HK,信德集团,港股,warning,enrichment_coverage_low
00243.HK,QPL INT'L,港股,warning,enrichment_coverage_low
00244.HK,先施,港股,warning,enrichment_coverage_low
00245.HK,中薇金融,港股,warning,enrichment_coverage_low
00247.HK,TST PROPERTIES,港股,warning,enrichment_coverage_low
00251.HK,爪哇控股,港股,warning,enrichment_coverage_low
00252.HK,华信地产财务,港股,warning,enrichment_coverage_low
00253.HK,顺豪控股,港股,warning,enrichment_coverage_low
00254.HK,国家联合资源,港股,warning,enrichment_coverage_low
00255.HK,龙记集团,港股,warning,enrichment_coverage_low
00256.HK,冠城钟表珠宝,港股,warning,enrichment_coverage_low
00257.HK,光大环境,港股,warning,enrichment_coverage_low
00258.HK,汤臣集团,港股,warning,enrichment_coverage_low
00259.HK,亿都（国际控股）,港股,warning,enrichment_coverage_low
00261.HK,ＧＢＡ集团,港股,warning,enrichment_coverage_low
00262.HK,迪臣发展国际,港股,warning,enrichment_coverage_low
00264.HK,中联发展控股,港股,warning,enrichment_coverage_low
00265.HK,港誉智慧城市服务,港股,warning,enrichment_coverage_low
00266.HK,天德地产,港股,warning,enrichment_coverage_low
00267.HK,中信股份,港股,warning,enrichment_coverage_low
00268.HK,金蝶国际,港股,warning,enrichment_coverage_low
00269.HK,中国资源交通,港股,warning,support_not_below_resistance
00269.HK,中国资源交通,港股,warning,enrichment_coverage_low
00270.HK,粤海投资,港股,warning,enrichment_coverage_low
00271.HK,亚证地产,港股,warning,enrichment_coverage_low
00272.HK,瑞安房地产,港股,warning,enrichment_coverage_low
00274.HK,复兴亚洲,港股,warning,enrichment_coverage_low
00276.HK,蒙古能源,港股,warning,enrichment_coverage_low
00277.HK,太兴置业,港股,warning,enrichment_coverage_low
00279.HK,裕承科金,港股,warning,enrichment_coverage_low
00280.HK,景福集团,港股,warning,enrichment_coverage_low
00285.HK,比亚迪电子,港股,warning,enrichment_coverage_low
00286.HK,爱帝宫,港股,warning,enrichment_coverage_low
00287.HK,永发置业,港股,warning,enrichment_coverage_low
00288.HK,万洲国际,港股,warning,enrichment_coverage_low
00289.HK,WING ON CO,港股,warning,enrichment_coverage_low
00290.HK,国富量子,港股,warning,enrichment_coverage_low
00291.HK,华润啤酒,港股,warning,enrichment_coverage_low
00293.HK,国泰航空,港股,warning,enrichment_coverage_low
00294.HK,长江制衣,港股,warning,enrichment_coverage_low
00295.HK,江山控股,港股,warning,enrichment_coverage_low
00296.HK,英皇娱乐酒店,港股,warning,enrichment_coverage_low
00297.HK,中化化肥,港股,warning,enrichment_coverage_low
00298.HK,庄士中国,港股,warning,enrichment_coverage_low
00299.HK,宝新置地,港股,warning,enrichment_coverage_low
00301.HK,三和精化,港股,warning,enrichment_coverage_low
00302.HK,中手游,港股,warning,enrichment_coverage_low
00303.HK,VTECH HOLDINGS,港股,warning,enrichment_coverage_low
00305.HK,五菱汽车,港股,warning,enrichment_coverage_low
00306.HK,冠忠巴士集团,港股,warning,enrichment_coverage_low
00308.HK,香港中旅,港股,warning,enrichment_coverage_low
00309.HK,新华通讯频媒,港股,warning,enrichment_coverage_low
00310.HK,嘉进投资国际,港股,warning,enrichment_coverage_low
00311.HK,联泰控股,港股,warning,enrichment_coverage_low
00312.HK,岁宝百货,港股,warning,enrichment_coverage_low
00313.HK,裕田中国,港股,warning,enrichment_coverage_low
00314.HK,思派健康,港股,warning,enrichment_coverage_low
00315.HK,数码通电讯,港股,warning,enrichment_coverage_low
00316.HK,东方海外国际,港股,warning,enrichment_coverage_low
00317.HK,中船防务,港股,warning,enrichment_coverage_low
00318.HK,黄河实业,港股,warning,enrichment_coverage_low
00320.HK,金宝通,港股,warning,enrichment_coverage_low
00321.HK,德永佳集团,港股,warning,enrichment_coverage_low
00322.HK,康师傅控股,港股,warning,enrichment_coverage_low
00323.HK,马鞍山钢铁股份,港股,warning,enrichment_coverage_low
00325.HK,布鲁可,港股,warning,enrichment_coverage_low
00326.HK,中国星集团,港股,warning,enrichment_coverage_low
00327.HK,百富环球,港股,warning,enrichment_coverage_low
00328.HK,ALCO HOLDINGS,港股,warning,enrichment_coverage_low
00329.HK,东建国际,港股,warning,enrichment_coverage_low
00331.HK,丰盛生活服务,港股,warning,enrichment_coverage_low
00332.HK,元亨燃气,港股,warning,enrichment_coverage_low
00333.HK,黛丽斯国际,港股,warning,enrichment_coverage_low
00334.HK,华显光电,港股,warning,enrichment_coverage_low
00335.HK,美建集团,港股,warning,enrichment_coverage_low
00336.HK,华宝国际,港股,warning,enrichment_coverage_low
00337.HK,绿地香港,港股,warning,enrichment_missing
00338.HK,上海石油化工股份,港股,warning,enrichment_missing
00339.HK,中国科创产业投资,港股,warning,enrichment_coverage_low
00340.HK,潼关黄金,港股,warning,enrichment_coverage_low
00341.HK,大家乐集团,港股,warning,enrichment_coverage_low
00343.HK,文化传信,港股,warning,enrichment_coverage_low
00345.HK,VITASOY INT'L,港股,warning,enrichment_coverage_low
00346.HK,延长石油国际,港股,warning,enrichment_coverage_low
00347.HK,鞍钢股份,港股,warning,enrichment_coverage_low
00348.HK,中国智能健康,港股,warning,enrichment_coverage_low
00351.HK,亚洲能源物流,港股,warning,enrichment_coverage_low
00352.HK,富阳,港股,warning,enrichment_coverage_low
00353.HK,能源国际投资,港股,warning,enrichment_coverage_low
00354.HK,中国软件国际,港股,warning,enrichment_coverage_low
